block_num,t1,t1_from,t1_to,t1_gas_cost_wei,t2,t2_from,t2_to,t2_gas_cost_wei,net_gains_wei,tv,tv_input_amount_wei
14677974,0xd330753e5f94bf33c0ac54da6c4ce43a53b5b2df5a36a8ac258765e6ef7fbe38,0x4F69c5B694D5A14a0a595703175c478Ec6B2a2Fe,0x1d6E8BAC6EA3730825bde4B005ed7B2B39A2932d,4225132949432326,0x1932fc0dc081de22783d7843a30d4352c477de36c0bded1b39927e3e405edd19,0x4F69c5B694D5A14a0a595703175c478Ec6B2a2Fe,0x1d6E8BAC6EA3730825bde4B005ed7B2B39A2932d,4196086429075793,2422407081754936,0xbf56cbbdb39fb3b242112e6a2329cced929dedf4cab321a273eb48d1a0a7df68,2e+18
14682530,0xd5d9b334443406ad1df20880ba5ef1d06a6e2024ac3d0fd55747ad8f129bef7c,0x7F2944C87183a924d443985649c997f3320D4E5F,0x00000000002d383933aa1609F11d0AFA4D5Ea90A,3400782997193414,0x57d03a291faa8f0f1f38e835ee8b21b2ef4495baadfcf70135db2ca14552796a,0x922Af2498aE44a719da89212658d14c67D35F3f8,0x00000000002d383933aa1609F11d0AFA4D5Ea90A,3104375842006089,136097830307535089,0x14273ef3138453f258c39298fd23b1c7c7c25db8360dd174b23b22deeb199bb6,1.4955e+18
14682590,0x04df20a543b5deaf2d1d83b8da9dc32e6c48f5960f083e9bd79c2279dae6201c,0x5AA17fC7F2950ECa85376C3A8CB1509e8e4B39dF,0x01FF6318440f7D5553a82294D78262D5f5084EFF,3495533927686571,0x18ffd269b6a8f18b901a12b50eba5052738e043442b88f2d6e0b93064593c693,0x5AA17fC7F2950ECa85376C3A8CB1509e8e4B39dF,0x01FF6318440f7D5553a82294D78262D5f5084EFF,9485568584687591,197681764203458,,
14684035,0x3ea3dc35a255c98d2f047939470e21e06dd7553e9c1a60d6ff9b866629ca8c04,0x16986DC82B24987f66939635137E25836DF2Ea61,0x0000000000D9455CC7EB92D06E00582A982f68fe,3321915029777221,0xa57fb984feec887c3c91a5afd44028361c5fdc78faf3fa55bb31966d715fbc1e,0x4EcdE565958DD14Ac37DcC9d3d08125f17c7Aaaf,0x0000000000D9455CC7EB92D06E00582A982f68fe,3003315297639144,33446080934197715,0x9833329aa36e17bf811534b127fed5c666ad518e8c669ffb4ca8f59f3641ed77,4.985e+17
14686390,0xf60ee2fabca7980a188808cca74b5770f14b94bd669d257936f5f8ac053157d1,0x5AA17fC7F2950ECa85376C3A8CB1509e8e4B39dF,0x01FF6318440f7D5553a82294D78262D5f5084EFF,7095573266578617,0xa966b38303926c2f97ef39e1f58d27689d2ad83209b73c9370698821abeb6f01,0x5AA17fC7F2950ECa85376C3A8CB1509e8e4B39dF,0x01FF6318440f7D5553a82294D78262D5f5084EFF,14978100454200900,336147315578461,,
14693663,0x32479fed2411a5de2b1fa21a393a432413065c90ad47b35bb097a2c37996407a,0x68CC21f7c777243D1A9c71C2349BfdccD8Ca7B78,0xE8c060F8052E07423f71D445277c61AC5138A2e5,9571329558252928,0x88812db010b8c2f1d9dffe13f54c7a0b6cdf07be5491bb9e079d0fb97c0e5040,0x68CC21f7c777243D1A9c71C2349BfdccD8Ca7B78,0xE8c060F8052E07423f71D445277c61AC5138A2e5,22973490001903210,793678664070166,0x3fe2d2dfbd5f4170f6e6545acb753c44edc61b4b19ead094a7385931b62aa894,2.5e+17
14698418,0x22cf430dd8339696ada46d4523e9ff9764077e25b6b375b5394ada44d497f585,0x19aBe4496214Df53bd60BF05385c2bc28e87A090,0x0000000000003f5e74C1ba8A66b48E6f3d71aE82,120253353416155728,0x82fb5f8f09547b885c6131c8969eb5cadb7a6e1c4a77a9ab8b6584592ebc4e03,0x1Afa018d9Be65B0Eac856340d919c4526C168FF8,0x0000000000003f5e74C1ba8A66b48E6f3d71aE82,7289642375946591,176018661437803754,0x1a42d474801fdaf348bd17839f6ce29f71c878f2016fca585065facae6a9fb98,1e+19
14704927,0x1050ce171a67bba13f09c14ebcf4babdbd3f1278a9785fe7470fea78c7c8bbf9,0xdD07249e403979Bd79848c27aa5454C7E66BdEe7,0x000000000000084e91743124a982076C59f10084,10918504679530947,0x7fe0dc0abad0a78ba0af0657b896d88b219d0d213a9c203fb6c270f20ad24726,0xdD07249e403979Bd79848c27aa5454C7E66BdEe7,0x000000000000084e91743124a982076C59f10084,4850138397685380,272380068981578099,0x896f7f4d5a1dde6033a09330d3ee20f387ebc8c9bceeb350fd1e3dffc9cb230b,2.2442713526901e+19
14711123,0x635e648971e222eb48f7548b275605b068473c61cca92ab96b46087d651b66bd,0xC3A40ea8bE9Ba3aE27FF7C38Cc28b7dd055605bF,0xB3fCD22ffD34D75C979D49E2E5fb3a3405644831,3094946631785370,0x2e89af9f61bf54e9fbd4bcdcefb3c2e3ad0372f97fc708aa175a0d082fb96943,0xC3A40ea8bE9Ba3aE27FF7C38Cc28b7dd055605bF,0xB3fCD22ffD34D75C979D49E2E5fb3a3405644831,10959069670148593,214020552842974,,
14713058,0x5273ac89196ba33cae5a886f5268691be8f1f656ac564949c576503abfe40853,0x16986DC82B24987f66939635137E25836DF2Ea61,0x0000000000D9455CC7EB92D06E00582A982f68fe,7588489908040318,0x868a054a889758e52d489b9481cd7df45b938c117de176984b00457e1ed80682,0x4EcdE565958DD14Ac37DcC9d3d08125f17c7Aaaf,0x0000000000D9455CC7EB92D06E00582A982f68fe,6861794190185935,61631187489912755,,
