block_num,attack number,attack_txn,t1_from,eth_commited,gas_committed,gas_limits,gas_used,total_input_wei
14713093,1,0x8e91477ad4d87f248ad376c8f23d4a31f0f6840599a8dffef535aa2a9a6df0a9,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.03388877,1235361347010000,21000,21000,16059697511130000
14713093,1,0x6e49f6ebe35a9484dd86f1a83f05ed840346cf7ad5ee5a0235e68da901b1748f,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.01031388,1235361347010000,21000,21000,16059697511130000
14713093,1,0xe196abe2a90ea8a6dfc97250cca7032638c04700a0b72e607616095e153f4657,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.16019268,1235361347010000,21000,21000,16059697511130000
14713093,1,0xd086e98025b0848763a7eb9a7e439638f214c123d4719456417412fa22f76555,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.01152646,1235361347010000,21000,21000,16059697511130000
14713093,1,0xf1d11eae9839710041f3a53934af01ace4bd05dc5e370de173fb58016b56d37c,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.50211051,1235361347010000,21000,21000,16059697511130000
14713093,1,0xf0d14116636e35884f813fde873405a77777cf9fceaf625bc962c0a0349d80c5,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.03096833,1235361347010000,21000,21000,16059697511130000
14713093,1,0xb531eec2cd8e61aa129bd297f65a02831462bd2351533a1a43c5276b3141ec87,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.01846511,1235361347010000,21000,21000,16059697511130000
14713093,1,0xce7c0e2bc0822abcb3b1a0ceb964db0d2a44cbd37100b1c2e9501ab8c1773b00,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,2.998887,1235361347010000,21000,21000,16059697511130000
14713093,1,0x93b9e42fae04c5b35fec41dc15e08850b858813cb7542caa273d10f16cdbeb95,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.01016029,1235361347010000,21000,21000,16059697511130000
14713093,1,0x6047bcc5738861eb9d432f60934c55c621ace20808f242b58db40ff1e070be54,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.08136365,1235361347010000,21000,21000,16059697511130000
14713093,1,0x7832047f1dac8ffa25020555ffba5fd15cf1fa82b357d0ba41c681a092b1fd1d,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,2.0,1235361347010000,21000,21000,16059697511130000
14713093,1,0xaad475819647c37383d91f6e8b9def02b0f22ffb7b252b1663d9ed4b233e85b9,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.06779879,1235361347010000,21000,21000,16059697511130000
14713093,1,0xdc9bbde46ab2f6bb2b13bf4061be41525a4fef27a4984a956877f87d1983953d,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,0.05425255,1235361347010000,21000,21000,16059697511130000
